6125
NM_001181595.1	NM_001181595.1	MissingGeneType
NM_001181594.1	NM_001181594.1	MissingGeneType
NM_001181593.1	NM_001181593.1	MissingGeneType
NM_001181592.1	NM_001181592.1	MissingGeneType
NM_001181591.1	NM_001181591.1	MissingGeneType
NM_001181590.1	NM_001181590.1	MissingGeneType
NM_001181589.1	NM_001181589.1	MissingGeneType
NM_001181588.1	NM_001181588.1	MissingGeneType
NM_001181587.1	NM_001181587.1	MissingGeneType
NM_001181586.1	NM_001181586.1	MissingGeneType
NM_001181584.1	NM_001181584.1	MissingGeneType
NM_001181582.1	NM_001181582.1	MissingGeneType
NR_132193.1	NR_132193.1	MissingGeneType
NR_132194.1	NR_132194.1	MissingGeneType
NM_001181581.1	NM_001181581.1	MissingGeneType
NM_001181580.1	NM_001181580.1	MissingGeneType
NM_001181579.1	NM_001181579.1	MissingGeneType
NM_001181578.1	NM_001181578.1	MissingGeneType
NM_001181577.1	NM_001181577.1	MissingGeneType
NM_001181576.1	NM_001181576.1	MissingGeneType
NM_001181574.1	NM_001181574.1	MissingGeneType
NM_001181573.1	NM_001181573.1	MissingGeneType
NM_001181572.1	NM_001181572.1	MissingGeneType
NM_001181571.1	NM_001181571.1	MissingGeneType
NM_001181570.1	NM_001181570.1	MissingGeneType
NM_001184637.1	NM_001184637.1	MissingGeneType
NM_001181569.1	NM_001181569.1	MissingGeneType
NM_001181567.1	NM_001181567.1	MissingGeneType
NM_001184636.1	NM_001184636.1	MissingGeneType
NM_001181566.1	NM_001181566.1	MissingGeneType
NM_001181565.1	NM_001181565.1	MissingGeneType
NM_001181564.1	NM_001181564.1	MissingGeneType
NM_001181563.2	NM_001181563.2	MissingGeneType
NM_001181562.1	NM_001181562.1	MissingGeneType
NM_001181561.2	NM_001181561.2	MissingGeneType
NM_001184532.1	NM_001184532.1	MissingGeneType
NM_001181560.1	NM_001181560.1	MissingGeneType
NM_001181559.1	NM_001181559.1	MissingGeneType
NM_001181558.1	NM_001181558.1	MissingGeneType
NM_001181557.1	NM_001181557.1	MissingGeneType
NM_001181556.1	NM_001181556.1	MissingGeneType
NM_001181555.1	NM_001181555.1	MissingGeneType
NM_001181554.1	NM_001181554.1	MissingGeneType
NM_001181551.1	NM_001181551.1	MissingGeneType
NM_001181550.1	NM_001181550.1	MissingGeneType
NM_001181549.1	NM_001181549.1	MissingGeneType
NM_001181548.1	NM_001181548.1	MissingGeneType
NM_001181547.2	NM_001181547.2	MissingGeneType
NM_001181546.3	NM_001181546.3	MissingGeneType
NM_001181545.2	NM_001181545.2	MissingGeneType
NM_001181544.1	NM_001181544.1	MissingGeneType
NM_001181543.1	NM_001181543.1	MissingGeneType
NM_001181542.1	NM_001181542.1	MissingGeneType
NM_001181541.1	NM_001181541.1	MissingGeneType
NM_001181540.1	NM_001181540.1	MissingGeneType
NM_001181539.1	NM_001181539.1	MissingGeneType
NM_001181538.1	NM_001181538.1	MissingGeneType
NM_001181537.1	NM_001181537.1	MissingGeneType
NR_132195.1	NR_132195.1	MissingGeneType
NM_001181536.1	NM_001181536.1	MissingGeneType
NM_001181535.1	NM_001181535.1	MissingGeneType
NM_001181534.1	NM_001181534.1	MissingGeneType
NM_001181533.1	NM_001181533.1	MissingGeneType
NM_001181532.1	NM_001181532.1	MissingGeneType
NM_001181531.1	NM_001181531.1	MissingGeneType
NM_001181530.1	NM_001181530.1	MissingGeneType
NM_001181529.1	NM_001181529.1	MissingGeneType
NM_001181528.1	NM_001181528.1	MissingGeneType
NM_001181527.1	NM_001181527.1	MissingGeneType
NM_001181526.1	NM_001181526.1	MissingGeneType
NM_001181525.1	NM_001181525.1	MissingGeneType
NM_001181523.1	NM_001181523.1	MissingGeneType
NM_001181522.1	NM_001181522.1	MissingGeneType
